archive_rank,title,award_date,awwwards_url,requested_url,final_url,studio,redirect_host_changed,http_status,technologies,technology_categories,awwwards_technology_tags,interaction_features,visual_styles,industry_tags,referenced_asset_formats,canvas,webgl,three_d,video,audio,rive,lottie,css_animation,smooth_scroll,service_worker,webassembly,model_3d_asset,mirror_status
1,Dragonfly Redux,2026-07-22,https://www.awwwards.com/sites/dragonfly-redux,https://www.dragonfly.xyz/,https://www.dragonfly.xyz/,Studio Freight,False,200,Cloudflare | Cloudflare Browser Insights | HSTS | Node.js | Nuxt.js | Vercel | Vue.js,Analytics | CDN | JavaScript frameworks | PaaS | Programming languages | RUM | Security | Static site generator | Web frameworks | Web servers,GSAP | Vue.js | WebGL,3D | Filters and Effects | Menu - Vertical | Scrolling,,Business & Corporate | Other | Technology,css:1 | html:4 | js:19 | pdf:1 | png:19 | woff2:3,False,True,True,False,False,False,False,False,True,False,False,False,mirrored
2,Lacoste — Polo Factory,2026-07-21,https://www.awwwards.com/sites/lacoste-polo-factory,https://members-play.lacoste.com/polo-factory-experience,https://members-play.lacoste.com/polo-factory-experience/,Merci Michel,False,200,Firebase | HSTS | HTTP/3,Databases | Development | Miscellaneous | Security,Three.js | WebGL,3D | Fullscreen,Colorful,Architecture | Fashion | Games & Entertainment,css:1 | ico:1 | js:2 | png:3 | svg:2,False,True,True,False,False,False,False,True,True,False,False,False,mirrored
3,Lama Lama,2026-07-20,https://www.awwwards.com/sites/lama-lama-2,https://lamalama.com/,https://lamalama.com/,Lama Lama,False,200,Fathom | Google Tag Manager | HTTP/3 | LiteSpeed | MySQL | PHP | WP Rocket | WPML | WordPress | Yoast SEO,Analytics | Blogs | CMS | Caching | Databases | Miscellaneous | Programming languages | SEO | Tag managers | Translation | Web servers | WordPress plugins,GSAP | JavaScript | WebGL,Animation,Graphic design,Design Agencies | E-Commerce | Web & Interactive,css:1 | html:1 | ico:1 | jpg:64 | js:4 | m3u8:29 | png:67 | svg:1 | woff2:5,True,True,False,True,False,False,False,False,False,False,False,False,mirrored
4,Glitch&Grit,2026-07-19,https://www.awwwards.com/sites/glitch-grit,https://glitchandgrit.com/,https://glitchandgrit.com/,Official Partner,False,200,Cloudflare | HSTS | HTTP/3 | Unpkg | Webflow | jQuery | jsDelivr,CDN | CMS | JavaScript libraries | Miscellaneous | Page builders | Security,Figma | Webflow,Footer Design | Transitions | Video,Typography,Design Agencies | Film & TV | Photo & Video | Portfolio,css:1 | jpeg:1 | jpg:1 | js:11 | mp4:19 | png:2 | webp:4,False,False,False,True,False,False,False,False,True,False,False,False,mirrored
5,IZANAMI,2026-07-18,https://www.awwwards.com/sites/izanami,https://izanami-official.com/,https://izanami-official.com/,baqemono.inc.,False,200,Google Analytics | Nginx,Analytics | Reverse proxies | Web servers,Figma | GSAP | WebGL,Scrolling | Storytelling,Art & Illustration | Copy design | Typography,Business & Corporate,css:1 | ico:1 | js:1 | png:6 | svg:1 | webp:13,True,True,False,False,False,False,False,False,True,False,False,False,mirrored
6,Hiroto Sato,2026-07-17,https://www.awwwards.com/sites/hiroto-sato,https://www.hirotos.com,https://www.hirotos.com,Hiroto Sato,False,200,Adobe Fonts | Nginx | Typekit,Font scripts | Reverse proxies | Web servers,Blender | GSAP | WebGL,3D,,Portfolio | Web & Interactive,css:3 | ico:1 | js:9,False,True,True,False,False,False,False,False,False,False,False,False,mirrored
7,CoffeeTech®,2026-07-16,https://www.awwwards.com/sites/coffeetech-r,https://coffee-tech.com/,https://www.coffee-tech.com/,Or Halevi,False,200,Bootstrap | Cloudflare | Google Tag Manager | HSTS | Weglot | jQuery,CDN | JavaScript libraries | Security | Tag managers | Translation | UI frameworks,GSAP | JavaScript | Webflow,360 | 3D | Transitions,Clean | Minimal,Business & Corporate | Technology,avif:26 | css:4 | html:1 | jpg:1 | js:6 | png:3 | svg:17,False,False,True,False,False,False,False,False,False,False,False,True,mirrored
8,RISK,2026-07-15,https://www.awwwards.com/sites/risk,https://www.risk.film,https://www.risk.film,FLOT NOIR,False,200,Cloudflare | Google Font API | Google Hosted Libraries | HSTS | HTTP/3 | jQuery,CDN | Font scripts | JavaScript libraries | Miscellaneous | Security,Figma | WebGL | Webflow,Animation | Filters and Effects | Fullscreen | Horizontal Layout | Infinite Scroll | Transitions,,Film & TV,css:2 | jpg:1 | js:8 | mp4:4 | png:2,True,True,False,True,False,False,False,False,False,False,False,False,mirrored
9,House of Honey,2026-07-14,https://www.awwwards.com/sites/house-of-honey-1,https://www.houseofhoney.com/,https://www.houseofhoney.com/,Edoardo Lunardi,False,200,HSTS | Next.js | Node.js | React | Vercel | Webpack,JavaScript frameworks | Miscellaneous | PaaS | Programming languages | Security | Web frameworks,Next.js | Sanity,Interaction Design | Microinteractions | Motion,Copy design | Minimal | Typography,Architecture | Culture & Education | Luxury | Portfolio,css:1 | jpg:8 | js:30 | png:1,False,False,False,False,False,False,False,False,True,False,False,False,mirrored
10,PP Neue Montreal,2026-07-13,https://www.awwwards.com/sites/pp-neue-montreal,https://neuemontreal.com/,https://neuemontreal.com/,Demande Spéciale,False,200,Cloudflare | Cloudflare Browser Insights | Framer Sites | HSTS | HTTP/3 | React,Analytics | CDN | CMS | JavaScript frameworks | Miscellaneous | Page builders | RUM | Security,Figma | Framer,Animation | Footer Design | Fullscreen | Motion,Clean | Colorful | Experimental | Graphic design,Promotional | Web & Interactive,jpg:1 | json:2 | mjs:8 | mp4:2 | png:5 | webp:47,False,False,False,True,False,False,False,True,True,False,False,False,mirrored
